#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADAM12	SH3PXD2A	9606.ENSP00000357668	9606.ENSP00000348215	0	0.150	0.500	0	0.556
ADAM19	SH3PXD2A	9606.ENSP00000257527	9606.ENSP00000348215	0	0.225	0.500	0	0.595
ADAM20	B4GALT1	9606.ENSP00000498512	9606.ENSP00000369055	0	0	0.500	0	0.499
ADAM20	ZP4	9606.ENSP00000498512	9606.ENSP00000482304	0	0	0.500	0	0.499
ADCY1	GNAI2	9606.ENSP00000297323	9606.ENSP00000312999	0	0	0.500	0	0.499
ADCY1	CALM1	9606.ENSP00000297323	9606.ENSP00000499717	0	0	0.700	0	0.700
ADCY4	ADCY6	9606.ENSP00000312126	9606.ENSP00000311405	0	0.255	0.900	0	0.922
ADCY4	GNAI2	9606.ENSP00000312126	9606.ENSP00000312999	0	0	0.500	0	0.499
ADCY6	GNB5	9606.ENSP00000311405	9606.ENSP00000261837	0	0	0.500	0	0.499
ADCY6	GNG12	9606.ENSP00000311405	9606.ENSP00000360021	0	0	0.500	0	0.499
ADCY6	GNGT2	9606.ENSP00000311405	9606.ENSP00000421710	0	0	0.500	0	0.499
ADCY6	GNG2	9606.ENSP00000311405	9606.ENSP00000334448	0	0	0.500	0	0.499
ADCY6	GNG4	9606.ENSP00000311405	9606.ENSP00000398629	0	0	0.500	0	0.499
ADCY6	GNAI2	9606.ENSP00000311405	9606.ENSP00000312999	0	0	0.500	0	0.499
ADD3	GBP2	9606.ENSP00000348381	9606.ENSP00000359497	0	0.570	0	0	0.570
ADD3	ANKRD29	9606.ENSP00000348381	9606.ENSP00000468354	0	0.669	0	0	0.669
ADGRE5	TSPAN15	9606.ENSP00000242786	9606.ENSP00000362387	0	0.422	0	0	0.422
ADGRG5	GNG2	9606.ENSP00000342981	9606.ENSP00000334448	0	0.806	0	0	0.806
ADGRL2	GNB5	9606.ENSP00000359765	9606.ENSP00000261837	0	0.749	0	0	0.749
ADGRL2	TENM4	9606.ENSP00000359765	9606.ENSP00000278550	0	0.749	0	0	0.749
ADGRL2	UNC5C	9606.ENSP00000359765	9606.ENSP00000406022	0	0.749	0	0	0.749
ADGRV1	WHRN	9606.ENSP00000384582	9606.ENSP00000354623	0	0	0.720	0	0.720
ADORA2A	GNG2	9606.ENSP00000480012	9606.ENSP00000334448	0	0.808	0	0	0.808
ADRA1A	GNB5	9606.ENSP00000369960	9606.ENSP00000261837	0	0.102	0.500	0	0.531
ADRA1A	GNG2	9606.ENSP00000369960	9606.ENSP00000334448	0	0.066	0.500	0	0.513
ADRA1A	GNG12	9606.ENSP00000369960	9606.ENSP00000360021	0	0	0.500	0	0.499
ADRA1A	GNA13	9606.ENSP00000369960	9606.ENSP00000400717	0	0	0.500	0	0.499
ADRA1A	GNGT2	9606.ENSP00000369960	9606.ENSP00000421710	0	0	0.500	0	0.499
ADRA1A	GNG4	9606.ENSP00000369960	9606.ENSP00000398629	0	0.066	0.500	0	0.513
AFDN	C9	9606.ENSP00000355771	9606.ENSP00000263408	0	0	0.720	0	0.720
AFDN	USP9X	9606.ENSP00000355771	9606.ENSP00000316357	0	0.457	0	0	0.457
AFDN	C8B	9606.ENSP00000355771	9606.ENSP00000360281	0	0	0.720	0	0.720
AFDN	CTNNA2	9606.ENSP00000355771	9606.ENSP00000384638	0	0	0.900	0	0.900
AGO2	CNOT6L	9606.ENSP00000220592	9606.ENSP00000424896	0	0.402	0	0	0.402
AGO2	TBKBP1	9606.ENSP00000220592	9606.ENSP00000354777	0	0.472	0	0	0.472
AGO2	H2BC12	9606.ENSP00000220592	9606.ENSP00000349430	0	0	0.500	0	0.499
AGO2	H2AC6	9606.ENSP00000220592	9606.ENSP00000367022	0	0	0.500	0	0.499
AGO2	PRKRA	9606.ENSP00000220592	9606.ENSP00000318176	0	0.457	0.720	0	0.841
AGO2	DCP2	9606.ENSP00000220592	9606.ENSP00000373715	0	0	0.900	0	0.900
AGO2	TNRC6B	9606.ENSP00000220592	9606.ENSP00000401946	0	0.621	0.400	0	0.762
AGO2	DICER1	9606.ENSP00000220592	9606.ENSP00000437256	0	0.737	0.900	0	0.972
AGR2	HUWE1	9606.ENSP00000391490	9606.ENSP00000340648	0	0.420	0	0	0.420
AGR2	ANXA2	9606.ENSP00000391490	9606.ENSP00000346032	0	0.457	0	0	0.457
AGR2	RAB5C	9606.ENSP00000391490	9606.ENSP00000447053	0	0.457	0	0	0.457
AGTR1	AGTR2	9606.ENSP00000398832	9606.ENSP00000360973	0	0	0.900	0	0.900
AGTR1	ITSN1	9606.ENSP00000398832	9606.ENSP00000370719	0	0	0.500	0	0.499
AGTR1	REPS1	9606.ENSP00000398832	9606.ENSP00000392065	0	0	0.500	0	0.499
AGTR1	CHRM2	9606.ENSP00000398832	9606.ENSP00000399745	0	0	0.400	0	0.400
AHNAK	EZR	9606.ENSP00000367263	9606.ENSP00000338934	0	0.420	0	0	0.420
AHNAK	ANXA2	9606.ENSP00000367263	9606.ENSP00000346032	0	0.912	0.900	0	0.990
AIFM2	DDO	9606.ENSP00000478931	9606.ENSP00000357920	0	0.250	0.281	0	0.437
AKAP11	KLHL28	9606.ENSP00000025301	9606.ENSP00000347193	0	0.421	0	0	0.420
AKAP5	IQGAP1	9606.ENSP00000378207	9606.ENSP00000268182	0	0.292	0.800	0	0.852
AKAP5	ROBO2	9606.ENSP00000378207	9606.ENSP00000417335	0	0	0.900	0	0.900
AKAP9	KCNQ1	9606.ENSP00000348573	9606.ENSP00000155840	0	0.457	0.800	0	0.886
AKAP9	SND1	9606.ENSP00000348573	9606.ENSP00000346762	0	0	0.500	0	0.499
AKAP9	QKI	9606.ENSP00000348573	9606.ENSP00000355094	0	0	0.500	0	0.499
AKAP9	PDE4DIP	9606.ENSP00000348573	9606.ENSP00000358363	0	0.575	0	0	0.575
ALOX5	DICER1	9606.ENSP00000363512	9606.ENSP00000437256	0	0.457	0	0	0.457
ALOX5	ALOX5AP	9606.ENSP00000363512	9606.ENSP00000479870	0	0.457	0.500	0	0.716
AMOT	USP9X	9606.ENSP00000361027	9606.ENSP00000316357	0	0.457	0	0	0.457
AMOT	UNC119	9606.ENSP00000361027	9606.ENSP00000337040	0	0.455	0	0	0.455
AMOT	PTPN14	9606.ENSP00000361027	9606.ENSP00000355923	0	0.422	0	0	0.422
ANKRD12	SLIT2	9606.ENSP00000262126	9606.ENSP00000422591	0	0.401	0	0	0.400
ANKRD26	BBS1	9606.ENSP00000365255	9606.ENSP00000317469	0	0.497	0	0	0.497
ANKRD26	RND2	9606.ENSP00000365255	9606.ENSP00000466680	0	0.125	0.500	0	0.543
ANTXR1	ANTXR2	9606.ENSP00000301945	9606.ENSP00000306185	0	0	0.900	0	0.900
ANXA2	DYSF	9606.ENSP00000346032	9606.ENSP00000386881	0	0	0.800	0	0.800
AP3B2	CLBA1	9606.ENSP00000440984	9606.ENSP00000450114	0	0	0.540	0	0.540
APC	PROCR	9606.ENSP00000257430	9606.ENSP00000216968	0	0.405	0	0	0.404
APC	TCF7	9606.ENSP00000257430	9606.ENSP00000340347	0	0	0.500	0	0.499
APC	LEF1	9606.ENSP00000257430	9606.ENSP00000265165	0	0	0.500	0	0.499
APC	TCF7L2	9606.ENSP00000257430	9606.ENSP00000486891	0	0	0.500	0	0.499
APC	CTNNA2	9606.ENSP00000257430	9606.ENSP00000384638	0	0	0.540	0	0.540
APC	WNT2	9606.ENSP00000257430	9606.ENSP00000265441	0	0	0.540	0	0.540
APC	CDH4	9606.ENSP00000257430	9606.ENSP00000484928	0	0	0.540	0	0.540
APC	CDH8	9606.ENSP00000257430	9606.ENSP00000462701	0	0	0.540	0	0.540
APC	USP7	9606.ENSP00000257430	9606.ENSP00000343535	0	0.564	0	0	0.564
APC	LRP6	9606.ENSP00000257430	9606.ENSP00000261349	0	0	0.720	0	0.720
APC	CDH2	9606.ENSP00000257430	9606.ENSP00000269141	0	0	0.720	0	0.720
APC	PTPN13	9606.ENSP00000257430	9606.ENSP00000394794	0	0.623	0	0	0.623
APC	APC2	9606.ENSP00000257430	9606.ENSP00000442954	0	0	0.900	0	0.900
APC	SIAH1	9606.ENSP00000257430	9606.ENSP00000349156	0	0.549	0.900	0	0.952
APC	AXIN2	9606.ENSP00000257430	9606.ENSP00000302625	0	0.296	0.900	0	0.926
APC2	CDH2	9606.ENSP00000442954	9606.ENSP00000269141	0	0	0.720	0	0.720
APC2	AXIN2	9606.ENSP00000442954	9606.ENSP00000302625	0	0.234	0.900	0	0.920
APC2	SIAH1	9606.ENSP00000442954	9606.ENSP00000349156	0	0	0.540	0	0.540
APC2	CTNNA2	9606.ENSP00000442954	9606.ENSP00000384638	0	0	0.540	0	0.540
APC2	CDH4	9606.ENSP00000442954	9606.ENSP00000484928	0	0	0.540	0	0.540
APC2	CDH8	9606.ENSP00000442954	9606.ENSP00000462701	0	0	0.540	0	0.540
APOH	LIPC	9606.ENSP00000205948	9606.ENSP00000299022	0	0	0.540	0	0.540
APOH	DBI	9606.ENSP00000205948	9606.ENSP00000486361	0	0	0.720	0	0.720
ARF1	CTSZ	9606.ENSP00000440005	9606.ENSP00000217131	0	0	0.500	0	0.499
ARF1	SORT1	9606.ENSP00000440005	9606.ENSP00000256637	0	0	0.500	0	0.499
ARF1	CYTH3	9606.ENSP00000440005	9606.ENSP00000297044	0	0	0.500	0	0.499
ARF1	HLA-DQA1	9606.ENSP00000440005	9606.ENSP00000339398	0	0	0.500	0	0.499
ARF1	IGF2R	9606.ENSP00000440005	9606.ENSP00000349437	0	0	0.500	0	0.499
ARF1	HLA-DRB1	9606.ENSP00000440005	9606.ENSP00000353099	0	0	0.500	0	0.499
ARF1	DNM1	9606.ENSP00000440005	9606.ENSP00000362014	0	0	0.500	0	0.499
ARF1	HLA-DQB1	9606.ENSP00000440005	9606.ENSP00000364080	0	0	0.500	0	0.499
ARF1	HLA-DRB5	9606.ENSP00000440005	9606.ENSP00000364114	0	0	0.500	0	0.499
ARF1	SNX2	9606.ENSP00000440005	9606.ENSP00000368831	0	0	0.500	0	0.499
ARF1	HLA-DRA	9606.ENSP00000440005	9606.ENSP00000378786	0	0	0.500	0	0.499
ARF1	CYTH1	9606.ENSP00000440005	9606.ENSP00000389095	0	0	0.500	0	0.499
ARF1	HLA-DPA1	9606.ENSP00000440005	9606.ENSP00000393566	0	0	0.500	0	0.499
ARF1	HLA-DPB1	9606.ENSP00000440005	9606.ENSP00000408146	0	0	0.500	0	0.499
ARF1	RAB5C	9606.ENSP00000440005	9606.ENSP00000447053	0	0.421	0.500	0	0.698
ARHGAP5	RHOA	9606.ENSP00000371897	9606.ENSP00000400175	0	0.584	0	0	0.584
ARHGAP5	RND2	9606.ENSP00000371897	9606.ENSP00000466680	0	0.330	0.500	0	0.650
ARHGEF17	RERG	9606.ENSP00000263674	9606.ENSP00000256953	0	0.422	0	0	0.422
ARHGEF7	EFNB1	9606.ENSP00000495631	9606.ENSP00000204961	0	0	0.500	0	0.499
ARHGEF7	CBL	9606.ENSP00000495631	9606.ENSP00000264033	0	0.457	0.500	0	0.716
ARHGEF7	CAMK4	9606.ENSP00000495631	9606.ENSP00000282356	0	0.595	0	0	0.595
ARHGEF7	SH2D1A	9606.ENSP00000495631	9606.ENSP00000360181	0	0.591	0	0	0.591
ARHGEF7	SH3KBP1	9606.ENSP00000495631	9606.ENSP00000380921	0	0	0.500	0	0.499
ARHGEF7	TGFA	9606.ENSP00000495631	9606.ENSP00000404131	0	0	0.500	0	0.499
ARHGEF7	LPXN	9606.ENSP00000495631	9606.ENSP00000431284	0	0.489	0	0	0.489
ARID4B	ZNF704	9606.ENSP00000264183	9606.ENSP00000331462	0	0.473	0	0	0.473
ARID4B	MTA3	9606.ENSP00000264183	9606.ENSP00000385823	0	0.195	0.500	0	0.580
ARID4B	GATAD2B	9606.ENSP00000264183	9606.ENSP00000357644	0	0.195	0.500	0	0.580
ARL3	YWHAH	9606.ENSP00000260746	9606.ENSP00000248975	0	0.422	0	0	0.422
ARL3	C20orf194	9606.ENSP00000260746	9606.ENSP00000252032	0	0.495	0	0	0.495
ARL3	UNC119	9606.ENSP00000260746	9606.ENSP00000337040	0	0.947	0	0	0.947
ARL6IP5	RTN4	9606.ENSP00000273258	9606.ENSP00000337838	0	0.481	0	0	0.481
ARPC3	ITSN1	9606.ENSP00000228825	9606.ENSP00000370719	0	0	0.500	0	0.499
ARPC3	WASF1	9606.ENSP00000228825	9606.ENSP00000376367	0	0	0.500	0	0.499
ARPC3	CYFIP2	9606.ENSP00000228825	9606.ENSP00000479719	0	0	0.500	0	0.499
ARPC3	DOCK8	9606.ENSP00000228825	9606.ENSP00000394888	0	0.617	0	0	0.617
ARPC3	ARPC5L	9606.ENSP00000228825	9606.ENSP00000345361	0	0.963	0.900	0	0.996
ARVCF	CDH2	9606.ENSP00000263207	9606.ENSP00000269141	0	0.400	0	0	0.400
ARVCF	CDH8	9606.ENSP00000263207	9606.ENSP00000462701	0	0.443	0	0	0.443
ARVCF	CPEB4	9606.ENSP00000263207	9606.ENSP00000265085	0	0	0.540	0	0.540
ARVCF	PKP3	9606.ENSP00000263207	9606.ENSP00000331678	0	0	0.720	0	0.720
ARVCF	PKP1	9606.ENSP00000263207	9606.ENSP00000263946	0	0	0.720	0	0.720
ASAH2	MYH4	9606.ENSP00000378897	9606.ENSP00000255381	0	0.473	0	0	0.473
ASB14	COMMD9	9606.ENSP00000419199	9606.ENSP00000263401	0	0	0.500	0	0.499
ASB7	COMMD9	9606.ENSP00000328327	9606.ENSP00000263401	0	0	0.500	0	0.499
ASPH	TRDN	9606.ENSP00000368767	9606.ENSP00000333984	0	0	0.800	0	0.800
ASS1	SP100	9606.ENSP00000361471	9606.ENSP00000343023	0	0.421	0	0	0.420
ATF6	XBP1	9606.ENSP00000356919	9606.ENSP00000216037	0	0.508	0	0	0.508
ATF6	ATF6B	9606.ENSP00000356919	9606.ENSP00000364349	0	0.508	0.900	0	0.948
ATF6B	CREB5	9606.ENSP00000364349	9606.ENSP00000350359	0	0	0.900	0	0.900
ATG16L1	TRAF3IP3	9606.ENSP00000375873	9606.ENSP00000355991	0	0.457	0	0	0.457
ATG16L1	ATG5	9606.ENSP00000375873	9606.ENSP00000358072	0	0.980	0.900	0	0.997
ATG5	OPTN	9606.ENSP00000358072	9606.ENSP00000368022	0	0.457	0	0	0.457
ATP12A	ATP1B4	9606.ENSP00000218548	9606.ENSP00000218008	0	0.185	0.360	0	0.456
ATP12A	PLN	9606.ENSP00000218548	9606.ENSP00000350132	0	0.149	0.720	0	0.751
ATP2B1	CALM1	9606.ENSP00000392043	9606.ENSP00000499717	0	0.473	0	0	0.473
ATP2B1	HSD17B6	9606.ENSP00000392043	9606.ENSP00000451406	0	0.478	0	0	0.478
ATP6V1B1	RRAGC	9606.ENSP00000234396	9606.ENSP00000362092	0	0	0.500	0	0.499
ATP6V1B1	RRAGB	9606.ENSP00000234396	9606.ENSP00000262850	0	0.130	0.500	0	0.546
ATP6V1B1	ATP6V1G3	9606.ENSP00000234396	9606.ENSP00000417171	0	0.362	0.540	0	0.693
ATP6V1B1	TCIRG1	9606.ENSP00000234396	9606.ENSP00000265686	0	0.610	0.718	0	0.885
ATP6V1B1	ATP6V1G1	9606.ENSP00000234396	9606.ENSP00000363162	0	0.781	0.900	0	0.977
ATP6V1G1	RRAGB	9606.ENSP00000363162	9606.ENSP00000262850	0	0	0.500	0	0.499
ATP6V1G1	TCIRG1	9606.ENSP00000363162	9606.ENSP00000265686	0	0.328	0.540	0	0.677
ATP6V1G1	RRAGC	9606.ENSP00000363162	9606.ENSP00000362092	0	0	0.500	0	0.499
ATP6V1G1	ATP6V1G3	9606.ENSP00000363162	9606.ENSP00000417171	0	0	0.540	0	0.540
ATP6V1G1	DMXL2	9606.ENSP00000363162	9606.ENSP00000441858	0	0.610	0	0	0.610
ATP6V1G3	RRAGB	9606.ENSP00000417171	9606.ENSP00000262850	0	0	0.500	0	0.499
ATP6V1G3	TCIRG1	9606.ENSP00000417171	9606.ENSP00000265686	0	0.328	0.540	0	0.677
ATP6V1G3	RRAGC	9606.ENSP00000417171	9606.ENSP00000362092	0	0	0.500	0	0.499
ATP8A1	TMEM30B	9606.ENSP00000371084	9606.ENSP00000450842	0	0.449	0.540	0	0.735
ATXN3	CAPN2	9606.ENSP00000496695	9606.ENSP00000295006	0	0.457	0	0	0.457
ATXN3	RAD23B	9606.ENSP00000496695	9606.ENSP00000350708	0	0.457	0.700	0	0.830
AXIN2	SIAH1	9606.ENSP00000302625	9606.ENSP00000349156	0	0.292	0.540	0	0.660
AXIN2	TNKS2	9606.ENSP00000302625	9606.ENSP00000360689	0	0.627	0.500	0	0.806
AXL	PIK3CA	9606.ENSP00000301178	9606.ENSP00000263967	0	0	0.500	0	0.499
AXL	SH2D2A	9606.ENSP00000301178	9606.ENSP00000376123	0	0	0.500	0	0.499
B4GALT1	ZP4	9606.ENSP00000369055	9606.ENSP00000482304	0	0	0.500	0	0.499
BACH2	CREB5	9606.ENSP00000257749	9606.ENSP00000350359	0	0.426	0	0	0.426
BCAN	VCAN	9606.ENSP00000331210	9606.ENSP00000265077	0	0.437	0	0	0.437
BCL11B	NCR1	9606.ENSP00000349723	9606.ENSP00000291890	0	0	0.720	0	0.720
BCL11B	GATAD2B	9606.ENSP00000349723	9606.ENSP00000357644	0	0.473	0	0	0.473
BCL11B	MTA3	9606.ENSP00000349723	9606.ENSP00000385823	0	0.524	0	0	0.524
BCL9L	LEF1	9606.ENSP00000335320	9606.ENSP00000265165	0	0	0.540	0	0.540
BCL9L	PYGO1	9606.ENSP00000335320	9606.ENSP00000302327	0	0.225	0.500	0	0.595
BCL9L	TCF7	9606.ENSP00000335320	9606.ENSP00000340347	0	0	0.540	0	0.540
BCL9L	TCF7L2	9606.ENSP00000335320	9606.ENSP00000486891	0	0	0.720	0	0.720
BCL9L	TCF4	9606.ENSP00000335320	9606.ENSP00000381382	0	0	0.900	0	0.900
BCL9L	TLE4	9606.ENSP00000335320	9606.ENSP00000365720	0	0	0.900	0	0.900
BCLAF1	MED14	9606.ENSP00000435210	9606.ENSP00000323720	0	0	0.540	0	0.540
BCLAF1	CHTOP	9606.ENSP00000435210	9606.ENSP00000357679	0	0.462	0	0	0.461
BDP1	POU2F1	9606.ENSP00000351575	9606.ENSP00000356840	0	0	0.500	0	0.499
BDP1	GTF3A	9606.ENSP00000351575	9606.ENSP00000370532	0	0	0.500	0	0.499
BHMT	BHMT2	9606.ENSP00000274353	9606.ENSP00000255192	0	0.527	0.900	0	0.950
BICD1	DCTN5	9606.ENSP00000498700	9606.ENSP00000300087	0	0	0.500	0	0.499
BICD1	CAPZA3	9606.ENSP00000498700	9606.ENSP00000326238	0	0	0.500	0	0.499
BICDL1	DCTN5	9606.ENSP00000380690	9606.ENSP00000300087	0	0.910	0	0	0.910
BRINP2	BRINP3	9606.ENSP00000354481	9606.ENSP00000356432	0	0.588	0	0	0.588
BRIX1	RRP8	9606.ENSP00000338862	9606.ENSP00000254605	0	0.496	0	0	0.495
BSN	PCLO	9606.ENSP00000296452	9606.ENSP00000334319	0	0	0.800	0	0.800
BTN3A1	TFF1	9606.ENSP00000289361	9606.ENSP00000291527	0	0.405	0	0	0.404
C15orf48	NDUFA4L2	9606.ENSP00000341610	9606.ENSP00000377411	0	0	0.540	0	0.540
C15orf48	COX7B2	9606.ENSP00000341610	9606.ENSP00000379784	0	0	0.540	0	0.540
C1S	TLL1	9606.ENSP00000385035	9606.ENSP00000061240	0	0.405	0	0	0.404
C1orf116	HOMER1	9606.ENSP00000352447	9606.ENSP00000334382	0	0.600	0	0	0.600
C3orf52	TMPRSS2	9606.ENSP00000399392	9606.ENSP00000381588	0	0.591	0	0	0.591
C8B	VTN	9606.ENSP00000360281	9606.ENSP00000226218	0	0	0.500	0	0.499
C8B	C9	9606.ENSP00000360281	9606.ENSP00000263408	0	0.800	0.900	0	0.979
C9	VTN	9606.ENSP00000263408	9606.ENSP00000226218	0	0	0.500	0	0.499
CACNA1D	CACNG1	9606.ENSP00000288139	9606.ENSP00000226021	0	0.375	0.720	0	0.817
CACNA1D	JPH3	9606.ENSP00000288139	9606.ENSP00000284262	0	0.430	0	0	0.430
CACNA1D	NCAM1	9606.ENSP00000288139	9606.ENSP00000480132	0	0	0.500	0	0.499
CACNA1D	PDE4D	9606.ENSP00000288139	9606.ENSP00000345502	0	0	0.540	0	0.540
CACNA1D	CACNB4	9606.ENSP00000288139	9606.ENSP00000438949	0	0.252	0.900	0	0.922
CACNB4	CACNG1	9606.ENSP00000438949	9606.ENSP00000226021	0	0.326	0.720	0	0.803
CACNB4	PDE4D	9606.ENSP00000438949	9606.ENSP00000345502	0	0	0.540	0	0.540
CACNB4	NCAM1	9606.ENSP00000438949	9606.ENSP00000480132	0	0	0.500	0	0.499
CACNG1	PDE4D	9606.ENSP00000226021	9606.ENSP00000345502	0	0	0.540	0	0.540
CALCOCO2	TBKBP1	9606.ENSP00000398523	9606.ENSP00000354777	0	0.457	0	0	0.457
CALCRL	GNG2	9606.ENSP00000376177	9606.ENSP00000334448	0	0.802	0	0	0.802
CALD1	MYL7	9606.ENSP00000354826	9606.ENSP00000223364	0	0	0.500	0	0.499
CALD1	MYL9	9606.ENSP00000354826	9606.ENSP00000279022	0	0	0.500	0	0.499
CALD1	MYL12A	9606.ENSP00000354826	9606.ENSP00000464359	0	0	0.500	0	0.499
CALD1	TPM2	9606.ENSP00000354826	9606.ENSP00000496494	0	0	0.500	0	0.499
CALM1	CNGB1	9606.ENSP00000499717	9606.ENSP00000251102	0	0	0.500	0	0.499
CALM1	KRAS	9606.ENSP00000499717	9606.ENSP00000256078	0	0.457	0.700	0	0.830
CALM1	EEF2K	9606.ENSP00000499717	9606.ENSP00000263026	0	0.915	0	0	0.915
CALM1	RASGRF2	9606.ENSP00000499717	9606.ENSP00000265080	0	0	0.400	0	0.400
CALM1	IQGAP1	9606.ENSP00000499717	9606.ENSP00000268182	0	0.469	0.500	0	0.723
CALM1	CAMK4	9606.ENSP00000499717	9606.ENSP00000282356	0	0.083	0.800	0	0.808
CALM1	GRIK1	9606.ENSP00000499717	9606.ENSP00000327687	0	0	0.500	0	0.499
CALM1	GRIN2A	9606.ENSP00000499717	9606.ENSP00000332549	0	0	0.500	0	0.499
CALM1	GRIK3	9606.ENSP00000499717	9606.ENSP00000362183	0	0	0.500	0	0.499
CALM1	DLG3	9606.ENSP00000499717	9606.ENSP00000363480	0	0.129	0.800	0	0.818
CALM1	UBR4	9606.ENSP00000499717	9606.ENSP00000364403	0	0.423	0	0	0.422
CALM1	SYK	9606.ENSP00000499717	9606.ENSP00000364898	0	0.457	0	0	0.457
CALM1	DLG2	9606.ENSP00000499717	9606.ENSP00000365272	0	0	0.400	0	0.400
CALM1	GRK5	9606.ENSP00000499717	9606.ENSP00000376609	0	0.926	0	0	0.926
CALM1	NFATC2	9606.ENSP00000499717	9606.ENSP00000379330	0	0	0.500	0	0.499
CALM1	PPP3CC	9606.ENSP00000499717	9606.ENSP00000380878	0	0.082	0.500	0	0.521
CALM1	ITPKB	9606.ENSP00000499717	9606.ENSP00000411152	0	0	0.900	0	0.900
CALM1	CAMK2D	9606.ENSP00000499717	9606.ENSP00000425824	0	0.940	0.400	0	0.962
CALM1	GRIK4	9606.ENSP00000499717	9606.ENSP00000435648	0	0	0.500	0	0.499
CALM1	NOS1	9606.ENSP00000499717	9606.ENSP00000477999	0	0.900	0	0	0.900
CALM1	MARCKS	9606.ENSP00000499717	9606.ENSP00000478061	0	0.916	0	0	0.916
